L1,ID1,L2,ID2
fireCompany,7X20X61,municipalCourt,2X1
fireCompany,8X22X8,municipalCourt,5X1
cityCouncil,1,municipalCourt,1X1
cityCouncil,1,municipalCourt,1X2
cityCouncil,2,municipalCourt,1X1
cityCouncil,2,municipalCourt,1X2
cityCouncil,2,municipalCourt,1X4
cityCouncil,2,municipalCourt,1X9
cityCouncil,3,municipalCourt,1X1
cityCouncil,3,municipalCourt,1X2
cityCouncil,3,municipalCourt,1X3
cityCouncil,3,municipalCourt,1X9
cityCouncil,4,municipalCourt,1X3
cityCouncil,4,municipalCourt,1X4
cityCouncil,4,municipalCourt,1X6
cityCouncil,4,municipalCourt,1X9
cityCouncil,5,municipalCourt,1X4
cityCouncil,5,municipalCourt,1X6
cityCouncil,6,municipalCourt,1X3
cityCouncil,6,municipalCourt,1X5
cityCouncil,6,municipalCourt,1X9
cityCouncil,7,municipalCourt,1X5
cityCouncil,7,municipalCourt,1X7
cityCouncil,8,municipalCourt,1X6
cityCouncil,8,municipalCourt,1X8
cityCouncil,8,municipalCourt,2X1
cityCouncil,8,municipalCourt,2X2
cityCouncil,9,municipalCourt,1X6
cityCouncil,9,municipalCourt,1X7
cityCouncil,9,municipalCourt,1X8
cityCouncil,9,municipalCourt,1X10
cityCouncil,10,municipalCourt,1X7
cityCouncil,11,municipalCourt,2X1
cityCouncil,11,municipalCourt,2X2
cityCouncil,12,municipalCourt,2X1
cityCouncil,12,municipalCourt,2X2
cityCouncil,13,municipalCourt,2X1
cityCouncil,14,municipalCourt,2X2
cityCouncil,15,municipalCourt,2X1
cityCouncil,15,municipalCourt,2X2
cityCouncil,16,municipalCourt,2X1
cityCouncil,16,municipalCourt,2X2
cityCouncil,17,municipalCourt,2X1
cityCouncil,17,municipalCourt,2X2
cityCouncil,18,municipalCourt,2X1
cityCouncil,19,municipalCourt,4X2
cityCouncil,19,municipalCourt,4X6
cityCouncil,20,municipalCourt,4X6
cityCouncil,21,municipalCourt,4X2
cityCouncil,21,municipalCourt,4X6
cityCouncil,22,municipalCourt,2X1
